60076060|中国最强音|1
25000082|我是歌手|2
70821030|张国荣|3
70807160|刘德华|4
70810060|刘德华|5
70809079|刘德华|6
70917322|刘德华|7
70847307|刘德华|8
70843436|张国荣|9
70854493|BEYOND|10
70130219|谭咏麟|11
70833033|刘德华|12
70845795|刘德华|13
70845815|刘德华|14
70919083|梁文音|15
70917402|宛金秋|16
70808242|蔡依林|17
70104806|刘德华|18
70849256|刘德华|19
70845284|刘德华|20
70919094|刘德华|21
70845158|刘德华|22
70917266|刘德华|23
70845617|刘德华|24
70802288|韩红|25
70809090|腾格尔|26
70828416|刘德华|27
70804227|佚名|28
70804086|容中尔甲|29
70806149|黄灿|30
70806221|腾格尔|31
70925483|乌兰图雅|32
70805347|蔡依林|33
70805810|容中尔甲|34
70847742|BEYOND|35
70843510|BEYOND|36
70843725|刘德华|37
70846229|BEYOND|38
70811322|容中尔甲|39
70844629|刘德华|40
70812444|刘德华|41
70812098|容中尔甲|42
70812425|容中尔甲|43
70820400|刘德华|44
70828286|蔡琴|45
70823809|韩红|46
70822766|黎明|47
70822765|黎明|48
70424145|佚名|49
70853452|DAVICHI|50
70903105|YOUNHA|51
70853537|陈升|52
70853503|WESTLIFE|53
70845836|陈慧琳|54
70847060|薛凯琪|55
70807909|莫文蔚|56
70853484|BROWN EYED GIRLS|57
70110143|赵咏华|58
70853498|戴佩妮|59
70853496|黄家强|60
70853502|NATASHA BEDINGFIELD|61
70900898|BOB|62
70845835|陈慧琳|63
70565933|Lionel Richie|64
70853885|阿杜|65
70853891|许巍|66
70902934|HOLLYWILLIAMS|67
70902938|INNA|68
70853917|WESTLIFE|69
70853513|Timbaland|70
70902890|ENRIQUE IGLESIAS|71
70903333|PEARL JAM|72
70906560|郑秀文|73
70901887|李圣杰|74
70853529|欧阳靖|75
70903338|RAINBOW|76
70902892|杜汶泽|77
70853557|草蜢|78
70903026|PITBULL|79
70902141|JOE MCELDERRY|80
70852417|郑秀文|81
70908450|ENERGY|82
70853830|梁咏琪|83
70908797|张惠妹|84
70111272|莫文蔚|85
70907263|王铮亮|86
70903043|ROBBIE WILLIAMS|87
70902868|Darius Rucker|88
70853501|陶喆|89
70903327|NEON TREES|90
70807923|陈小春|91
70535738|陶喆|92
70536994|陈慧琳|93
70538069|陶喆|94
70517109|BEYOND|95
70567700|SARAH MCLACHLAN|96
70807928|SARA|97
70807935|小虎队|98
70814653|Kanye West|99
70917893|安七炫|100
70102346|陈冠希|101
70908775|草蜢|102
70915914|PINK|103
70835249|王建杰|104
70807921|容祖儿|105
70915585|30 SECONDS TO MARS|106
70830156|芭比|107
70918893|U KISS|108
70915937|HEGAK|109
70921301|Tokio Hotel|110
70838318|佚名|111
70919582|莫文蔚|112
70826485|佚名|113
70108009|T RUSH|114
70833009|秀兰玛雅|115
70158410|蜜雪薇琪|116
70161815|林帆|117
70403615|林子祥|118
70924596|Heart|119
70101890|蜜雪薇琪|120
25000067|我是歌手|121
60071568|张靓颖|122
70924585|BIG TIME RUSH|123
70109607|彭羚|124
70559304|D Porter|125
70826969|玄武|126
70829835|萧敬腾|127
70102347|陶晶莹|128
70160645|丁文琪|129
70839712|杜德伟|130
70827821|裘海正|131
70834178|吴淑敏|132
70903666|Puddle Of Mudd|133
70903050|SARAH CONNOR|134
70902085|MISS A|135
70851867|彭羚|136
70845851|陈百强|137
70854031|TWINS|138
70839719|BLUE|139
70840770|THE CORRS|140
70924443|Boyfriend|141
70925468|FANTASIA|142
70839266|BRANDY|143
70807873|孙燕姿|144
70924630|林峰|145
70838701|CHRISTINA AGUILERA|146
70841168|MARIAH CAREY|147
70842266|佚名|148
70842425|Kenny G|149
70839699|MARIAH CAREY|150
70520170|谭咏麟|151
70825967|梁静茹|152
70841314|ANDY WILLIAMS|153
70839723|SMILE 组合|154
70151071|李雨寰|155
70839721|MARIA ARREDONDO|156
70839708|Spears Britney|157
70916722|旅行团|158
70122343|可米小子|159
70921929|System Of A Down|160
70921930|侧田|161
70921298|Three Days Grace|162
70914995|陈文媛|163
70839161|Usher|164
70916002|MAZIK FLOW|165
70915735|NARSHA|166
70807962|S.H.E|167
70807946|S.H.E|168
70839179|ASHLEE SIMPSON|169
70839713|MICHAEL JACKSON|170
70839715|佚名|171
70839720|COLBIE CAILLAT|172
70915235|CHER|173
70807947|陶晶莹|174
70915997|KESHA|175
70807922|王心凌|176
70921240|Limp Bizkit|177
70917986|NEW BOYZ|178
70921482|CALVIN HARRIS|179
70917337|G DRAGON|180
70915894|B2Y|181
70924947|花世纪|182
70920347|黄妃|183
70915385|SUPER JUNIOR|184
70915449|YOUNG MONEY LIOYD|185
70921525|PITBULL|186
70922460|康晋荣|187
70800097|ENERGY|188
70915908|CRAIG MORGAN|189
70807915|黎明|190
70924837|林峰|191
70901257|La Roux|192
70904445|The Goo Goo Dolls|193
70908864|SHAGGY|194
70907510|KELLY CLARKSON|195
70904347|BOB|196
70901022|HOTCHA|197
70901263|Bruno Mars|198
70820591|路嘉欣|199
70903279|Akon featuring Colby O Donis/Kardinal Offishall|200
70903058|Amy Lee|201
70902104|MADCON|202
70852920|黄小琥|203
70901064|江若琳|204
70902788|后街男孩|205
70807945|中国娃娃|206
70807876|李玟|207
70807870|谭晶|208
70845841|古巨基|209
60071579|S翼乐团|210
89118689|方大同|211
60071572|熊宝贝乐团|212
60071575|ADELE|213
89117394|梁咏琪|214
60071574|大嘴巴|215
60071571|小护士|216
70850680|林一峰|217
70849199|吴雨霏|218
70845853|张学友|219
70923789|宿雨涵|220
70924838|林峰|221
